set,rank,rank_lo95,rank_hi95,id,name,type,cost,delta_pct,ci95_pct,tier,effect_pct,usable,play_pct,buy_turn,n_pairs
buy,211,189,219,AEM,앤티크 인핸스 매직,spell,3,-10.60,1.76,◎確実,-0.09,✕評価不能,0.0,1.50,4000
buy,212,193,219,BLOOD_JOY,피의 마법 - 희,spell,3,-10.67,1.77,◎確実,-0.17,✕評価不能,0.0,1.50,4000
buy,213,192,221,NHEAL,생명의 가호,spell,3,-10.90,1.78,◎確実,-0.39,○,92.9,1.50,4000
buy,214,194,221,BLOOD_PLEASURE,피의 마법 - 락,spell,4,-11.05,1.79,◎確実,0.12,✕評価不能,0.0,1.50,4000
buy,215,196,221,DEMON_REALM,마계,spell,3,-11.13,1.74,◎確実,-0.62,○,87.8,1.50,4000
buy,216,196,222,DISARM3,마법연구기관,spell,4,-11.15,1.78,◎確実,0.02,✕評価不能,0.0,1.50,4000
buy,217,197,222,MAJESTY_RITE,각인 비술,spell,4,-11.20,1.78,◎確実,-0.03,✕評価不能,0.0,1.50,4000
buy,218,193,223,S5,마켓 크래시,spell,2,-11.22,1.74,◎確実,-5.05,○,93.9,1.50,4000
buy,219,198,223,S14,대지의 축복,spell,4,-11.28,1.79,◎確実,-0.11,✕評価不能,0.0,1.50,4000
buy,220,207,224,BLOOD_SHIELD,흡혈 술식,spell,3,-11.77,1.75,◎確実,-1.27,○,86.9,1.50,4000
buy,221,211,225,CULL_FARM,컬 재배,spell,3,-11.95,1.78,◎確実,-1.44,○,95.5,1.50,4000
buy,222,213,225,BLOOD_FEST,피의 축제,spell,3,-12.03,1.74,◎確実,-1.52,○,88.4,1.50,4000
buy,223,215,226,GAMBLE,육면의 변덕,spell,4,-12.53,1.82,◎確実,-1.36,○,91.0,1.50,4000
buy,224,216,227,GUILD_HQ,암살자 길드 본부,mon,6,-12.68,1.37,◎確実,-5.37,○,52.0,13.70,4000
buy,225,219,227,SX4,두 번째 열쇠,spell,4,-12.70,1.77,◎確実,-1.53,○,55.1,1.50,4000
buy,226,223,229,ELF,엘프,mon,4,-13.55,1.78,◎確実,-2.38,✕評価不能,6.1,1.50,4000
buy,227,224,229,AJIN,어튠 - 진,spell,4,-13.85,1.81,◎確実,-2.68,○,84.2,1.50,4000
buy,228,226,230,BLOOD1,피의 마법 - 블러드 드로우,spell,2,-14.72,1.79,◎確実,-8.55,○,59.0,1.50,4000
buy,229,226,231,GUILD_CHEST,암살자 길드의 보물상자,spell,5,-14.85,1.60,◎確実,-5.77,○,67.0,9.00,4000
buy,230,228,233,FORBIDDEN,금단의 술식,spell,3,-15.65,1.78,◎確実,-5.14,△参考,20.0,1.50,4000
buy,231,229,234,DARK_ELF,다크 엘프,mon,4,-16.32,1.78,◎確実,-5.16,✕評価不能,6.8,1.50,4000
buy,232,230,234,LUCKY_CHEST,행운의 보물상자,spell,3,-16.55,1.82,◎確実,-6.04,○,89.8,1.50,4000
buy,233,230,234,MEDITATE,명상,spell,4,-16.75,1.78,◎確実,-5.58,○,65.3,1.50,4000
buy,234,231,234,MARKET_CRISIS,경제 위기,spell,3,-17.42,1.79,◎確実,-6.92,○,89.3,1.50,4000
buy,235,235,235,BLOOD2,피의 마법 - 블러드 샤워,spell,4,-20.52,1.78,◎確実,-9.36,○,72.0,1.50,4000
buy,236,236,236,VOID_APOSTLE,허무공간의 사도,mon,4,-32.25,1.68,◎確実,-21.08,○,94.5,1.50,4000
